Country Name,Country Code,Year,GDP growth (annual %),GDP per capita (current US$),"Inflation, consumer prices (annual %)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Population growth (annual %),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population)
"Somalia, Fed. Rep.",SOM,2008,6.69435192582009,507.03744334738,18.71697638036452,34.497,2.96295013077131,18.714,37.1754203605454
"Somalia, Fed. Rep.",SOM,2009,6.69435192556188,246.513251675105,9.132357111348854,34.473,2.52395215945852,18.724,37.8418671506609
"Somalia, Fed. Rep.",SOM,2010,6.69435192550543,219.202453852397,4.206774943201665,34.438,2.48169887268086,18.741,38.5735080618592
"Somalia, Fed. Rep.",SOM,2011,6.69435192567755,235.325945610434,17.640124586313913,34.336,0.707617147612372,18.761,39.380318284448
"Somalia, Fed. Rep.",SOM,2012,6.69435192556698,350.261946720512,17.418436271133107,34.232,0.905528519522503,18.771,40.2722730087349
"Somalia, Fed. Rep.",SOM,2013,10.9592986164311,393.398703952979,5.308452013447459,34.2,3.22508679396084,18.655,41.2593474250273
"Somalia, Fed. Rep.",SOM,2014,8.97800590574617,429.431656725102,4.093937800576409,34.178,3.58614089585868,18.595,42.3515167236328
"Somalia, Fed. Rep.",SOM,2015,10.4621881235147,445.583080073396,10.955783137116844,34.157,3.44441462928404,18.495,43.8618107408479
"Somalia, Fed. Rep.",SOM,2016,7.03487260042162,460.928490585175,52.367583945229654,34.135,3.8489103342184,18.611,45.942842729174
"Somalia, Fed. Rep.",SOM,2017,14.7357956045195,510.939952317726,30.247773230825604,34.102,3.88144974373944,18.455,48.3639630032265
"Somalia, Fed. Rep.",SOM,2018,2.05431507261069,509.497273804534,13.143471272456251,34.062,3.52933303532182,18.7,50.9506215336872
"Somalia, Fed. Rep.",SOM,2019,2.80033312513012,539.954816211694,15.075154913327486,34.03,3.67525774477084,18.828,51.6421170703225
"Somalia, Fed. Rep.",SOM,2020,-2.76455696202532,518.16113333875,10.12393460323279,33.707,3.79592066888979,19.414,52.286318011754
"Somalia, Fed. Rep.",SOM,2021,3.44719850031242,549.056994756254,7.3192156498998875,33.733,3.65720037777736,19.662,52.9060649733324
"Somalia, Fed. Rep.",SOM,2022,2.71821202053759,573.141165798229,11.008848933115042,33.922,3.0251275475745,19.112,53.5010115886789
"Somalia, Fed. Rep.",SOM,2023,4.17524257571303,596.885985135589,12.200411331451953,33.909,3.07939219638342,18.96,54.0714435506882
South Sudan,SSD,2000,5.04164187983342,1654.21153546555,5.00627361534047,74.366,4.41687038815206,12.309,16.0428540117317
South Sudan,SSD,2001,5.04164187983342,1654.21153546555,5.00627361534047,74.374,4.47577583092792,12.278,16.2559618671544
South Sudan,SSD,2002,5.04164187983342,1654.21153546555,5.00627361534047,74.419,4.47049405409342,12.235,16.447645411794
South Sudan,SSD,2003,5.04164187983342,1654.21153546555,5.00627361534047,74.463,4.53889048481808,12.234,16.6154472307377
South Sudan,SSD,2004,5.04164187983342,1654.21153546555,5.00627361534047,74.431,4.66850589649025,12.256,16.7569099090725
South Sudan,SSD,2005,5.04164187983342,1654.21153546555,5.00627361534047,74.336,4.81908754947047,12.266,16.8695760318857
